,0.03
0.9500,0.0087
0.9000,-0.0493
0.8500,-0.1176
0.8000,-0.1839
0.7500,-0.2461
0.7000,-0.3222
0.6500,-0.4029
0.6000,-0.4968
0.5500,-0.6000
0.5000,-0.7168
0.4500,-0.8873
0.4000,-1.0647
0.3500,-1.1480
0.3000,-1.2075
0.2500,-1.2775
0.2000,-1.3658
0.1500,-1.4763
0.1000,-1.6455
0.0750,-1.7803
0.0600,-1.8759
0.0500,-1.9684
0.0400,-2.0631
0.0300,-2.1918
0.0250,-2.2759
0.0200,-2.3944
0.0150,-2.5317
0.0100,-2.7022
0.0050,-3.0135
0.0000,-2.3039
0.0000,-2.3039
0.0050,0.8507
0.0100,0.9929
0.0150,0.9833
0.0200,0.9512
0.0250,0.9099
0.0310,0.8721
0.0400,0.7921
0.0500,0.7370
0.0600,0.6885
0.0750,0.6298
0.1000,0.5669
0.1500,0.4805
0.2000,0.4292
0.2500,0.3983
0.3000,0.3693
0.3500,0.3397
0.4000,0.3253
0.4500,0.3141
0.5050,0.3027
0.5500,0.2881
0.6000,0.2799
0.6500,0.2654
0.7000,0.2526
0.7500,0.2469
0.8000,0.2263
0.8500,0.2146
0.9000,0.1995
0.9500,0.1691
