,1.00E+05
0.002793296,-0.816135084
0.005586592,-0.951219512
0.01396648,-0.969981238
0.026070764,-0.801125704
0.03538175,-0.681050657
0.046554935,-0.651031895
0.054003724,-0.651031895
0.075418994,-0.643527205
0.089385475,-0.636022514
0.109869646,-0.636022514
0.130353818,-0.643527205
0.150837989,-0.643527205
0.172253259,-0.666041276
0.195530726,-0.643527205
0.219739292,-0.639774859
0.245810056,-0.643527205
0.275605214,-0.651031895
0.305400372,-0.643527205
0.335195531,-0.636022514
0.368715084,-0.636022514
0.405959032,-0.643527205
0.440409683,-0.64727955
0.479515829,-0.64727955
0.518621974,-0.651031895
0.559590317,-0.64727955
0.598696462,-0.643527205
0.641527002,-0.64727955
0.685288641,-0.643527205
0.740223464,-0.658536585
0.806331471,-0.662288931
0.877094972,-0.651031895
0.958100559,-0.628517824
